,Cleaned Hard Skills
0,Lambdas
1,Java Streams
2,Object Oriented analysis
3,Relational Databases
4,SQL
5,ORM
6,JPA2
7,Hibernate
8,MyBatis
9,code versioning tools
10,Maven
11,continuous integration
12,continuous delivery development processes
13,jenkins
14,bamboo
15,frameworks
16,transformations
17,analytical reporting
18,coding practices
19,optimized solutions
20,reporting and analytics solutions
21,physical databases
22,logical and physical data models
23,modeling tools
24,profiling tools
25,Bachelor or Master degree
26,STEM majors
27,Strong algorithms
28,coding background
29,either Java
30,Python
31,  Relational Stores
32,ie Postgres
33,MySQL
34,Oracle
35,NoSQL Stores
36,ie Big Query
37,Clickhouse
38,Distributed Processing Engines
39,ie Apache Spark
40,Apache Flink
41,Celery
42,ie Apache Kafka
43,AWS Kinesis
44,GCP PusSub
45,GCP
46,Azure
47,AWS
48,Excellent UnixLinux experience and programming experience
49,scripting
50,python shell
51,IPC mechanisms
52,TCPIP
53,Kafka
54,zmq
55,grpc
56,microservice architecture
57,orchestration
58,docker
59,kubernetes
60,cloud environments
61,etcd
62,service meshes
63,envoy
64,vault
65,API gateways
66,load balancers
67,databases
68,sqlnosql
69,columnar databases
70,CAP Theorem
71,RAFT
72,mapreduce reliable multicast
73,Paxos
74,CICD
75,Github
76,Makefiles
77,Microservices
78,GCPNodejs
79,REST APIs servicesExperience writing tools
80,Ruby
81,PerlExperience
82,Bazel
83,toolingScala programming experienceKnowledge
84,HTTP 2websocket
85,binary protocolsExperience
86,Redis
87,Web UIExperience
88,JavaScript
89,HTML
90,CSS
91,algorithms
92,Angular
93,Meteor
94,Ember
95,Knockout
96,UI Component libraries
97,Vue
98,Bootstrap
99,ES6
100,TypeScript
101,Dependency injection patterns
102,Async Module Definition
103,AMD requireJS
104,commonJS
105,Stylesheet languages
106,SASS
107,Redux
108,Reactive Programming
109,RxJS
110,lambdas
111,optionals
112,Guice knowledge
113,Protobuf knowledge
114,consuming service oriented architecture layers
115,APIs
116,highly scalable applications
117,Web UIDeep understanding
118,JSON
119,JavaScript Design
120,Architectural Patterns
121, EclipseNetBeansIntelliJ
122,SpringGuice
123,JPAHibernate
124,JavaExperience
125,highly distributed and scalable systems
126,Containers knowledge
127,Multithreaded concepts
128,latency
129,heap
130,profiling
131,NoSQL
132,MongoDB
133,Cassandra
134,Java Application Servers
135,Oracle WebLogic
136,JBoss
137,Tomcat
138,Jasmine
139,Karma
140,Protractor
141,Junit
142,Crossbrowser techniques
143,Chrome Dev Tools
144,Responsive design implementation
145,Browser performance auditing
146,tuning
147,Git Perforce
148,Scrum  Kanban
149,Guice
150,GRPC
151,BTechBS
152,Excellent analytical and problemsolving skills
153,Provendeepexpertise
154,Python programming
155,Django
156,Flask
157,any RDBMS and strong SQL knowledge
158,Unix  Linux command line
159,Objectoriented concepts
160,UI frameworks
161,usability design
162,Hadoop  Hive  Presto
163,MLAI frameworks
164,TensorFlow
165,H20
166,noSQL databases
167,docker and container platforms
168,Mesos
169,Kubernetes
170,Application benchmarking
171,optimization
172,Building user interface applications
173,analytical devices
174,measurement and control algorithms
175,UI Applications
176,analytical medical or automotive devices
177,programming user interfaces
178,the Qt Framework
179,QML
180,QtC
181,regulated markets
182,embedded LinuxSystems
183,RasPi
184,BeagleBone
185,IPbased network protocols
