,Cleaned Soft Skills
0,familiarity
1,functionalities
2,Java Streams
3,Object Oriented analysis
4,Relational Databases
5,SQL
6,ORM
7,code versioning tools
8,Git Familiarity
9,Maven
10,continuous integration
11,continuous delivery development processes
12,Familiarity
13,frameworks
14,transformations
15,analytical reporting
16,conceptual data models
17,standard naming conventions
18,coding practices
19,consistency
20,optimized solutions
21,high throughput data access services
22,analyzeprofile data
23,conceptual logical  physical data model designs
24,reporting and analytics solutions
25,physical databases
26,integrations
27,Demonstrable experience
28,logical and physical data models
29,interpersonal skills
30,modern enterprise data architectures
31,data toolsets
32,eg data warehouse
33,data marts
34,modeling tools
35,profiling tools
36,Bachelor or Master degree
37,either Java
38,Python
39,Scala programming experience
40,Exceptional proficiency
41,each following distributed technologies
42,  Relational Stores
43,ie Postgres
44,Oracle
45,NoSQL Stores
46,ie Big Query
47,Distributed Processing Engines
48,ie Apache Spark
49,Apache Flink
50,Celery
51,Distributed Queues
52,ie Apache Kafka
53,GCP PusSub
54,standard methodologies
55,GCP
56,Azure
57,similar cloud platform technologies
58,experience building cloud environments
59,Excellent UnixLinux experience and programming experience
60,scripting
61,IPC mechanisms
62,Kafka
63,microservice architecture
64,orchestration
65,cloud environments
66,service meshes
67,API gateways
68,load balancers
69,databases
70,columnar databases
71,distributed consensus
72,mapreduce reliable multicast
73,CICD
74,Microservices
75,REST APIs servicesExperience writing tools
76,Ruby
77,Bazel
78,toolingScala programming experienceKnowledge
79,HTTP 2websocket
80,Web UIExperience
81,JavaScript
82,HTML
83,CSS
84,standard W3C Web UI APIs
85,the following types frameworkslibrarieslanguages
86,Angular
87,Ember
88,UI Component libraries
89,Vue
90,Bootstrap
91,ES6
92,TypeScript
93,Dependency injection patterns
94,Stylesheet languages
95,SASS
96,Reactive Programming
97,JavaStrong programming skills
98,Guice knowledge
99,Protobuf knowledge
100,consuming service oriented architecture layers
101,APIs
102,highly scalable applications
103,Web UIDeep understanding
104,JSON
105,JavaScript Design
106,Architectural Patterns
107,Proficiency
108,highly distributed and scalable systems
109,Containers knowledge
110,Multithreaded concepts
111,latency
112,profiling
113,distributed troubleshooting
114,NoSQL
115,Cassandra
116,Oracle WebLogic
117,Tomcat
118,Jasmine
119,Karma
120,Junit
121,Crossbrowser techniques
122,Chrome Dev Tools
123,Responsive design implementation
124,Browser performance auditing
125,tuning
126,distributed code repositories
127,Git Perforce
128,Scrum  Kanban
129,Excellent analytical and problemsolving skills
130,Python programming
131,any RDBMS and strong SQL knowledge
132,Unix  Linux command line
133,Objectoriented concepts
134,UI frameworks
135,usability design
136,Hadoop  Hive  Presto
137,MLAI frameworks
138,TensorFlow
139,noSQL databases
140,docker and container platforms
141,Kubernetes
142,Application benchmarking
143,optimization
144,Building user interface applications
145,analytical devices
146,measurement and control algorithms
147,UI Applications
148,analytical medical or automotive devices
149,programming user interfaces
150,the Qt Framework
151,regulated markets
152,embedded LinuxSystems
153,IPbased network protocols
154,the LinuxYocto distribution
155,Myntra’s new product platforms
156,mentor
157,Architects
158,architectural and design best practices
159,deployment
160,availability characteristics
161,the longterm architectural direction
162,platforms reusable components
163,a nimble delivery process
164,reliability
165,extensibility
166,deliverables
167,next generation extensible web
168,mobile and fashion commerce platforms
169,security protocols
170,continuous scaling
171,the architectural governance
172,new technology stacks
173,multiple technology domains
174,external technical forums
175,business stakeholders
176,term longterm roadmaps
177,excellent abstraction
178,coding
179,a startupecommerce ecosystem
180,a high growth  matrix environment
181,an efficient proficient problemsolver
182,business and technical perspectives
183,workable solutions
184,leading product development endend portfolio
185,architectures
186,rdbms  NoSQL stores
187,massively large scale distributed internet systems
188,multithreading and performance oriented programming
189,highly scalable products
190,queues
191,objectoriented programming
192,concurrency
193,fundamentals
194,Developing userfacing web applications
195,reusable modular code
196,Backend services
197,React JS
198,Dev tools
199,markup languages
200,CSS3
201,preprocessing platforms
202,Postgres
203,Data modeling skills
204,the testing frameworks
205,code versioning tool  Git
206,a standardized IT methodology
207,outputs
208,architectural development
209,modifications
210,specifications
211,interdependent technologies
212,computing related technology programs
213,Minimum 1 year Java design and development experience
214,Spring and Hibernate based solutions
215,technical expertise
216,statistical programming tasks
217,the Statistical Programming department
218,more complex assigned tasks
219,appropriate validation requirements
220,SOPs
221,Checks programming logs
222,programming specifications datasets
223,dataset derivations
224,biostatistical tools
225,questions specification
226,lead programmer
227,the Biostatistical Team Lead
228,project specific macros
229,timely progress updates
230,integrated databases
231,project macros
232,programming specifications
233,safety outputs
234,contract and budget assumptions
235,rework
236,mentors junior staff
237,QC review
238,ADaM reviewers guide
239,lead programmer role
240,proactive approach
241,efficiencies
242,protocols
243,operational topics
244,Masters Degree Computer science
245,Bachelors Degree Computer science
246,Base SAS
247,SAS Macro Language
248,Good organizational interpersonal leadership and communication skills
249,coworkers
250,a talented enthusiastic and detailoriented Data Engineer
251,an agile way
252,analysis data modeling
253,big data pipelines
254,the Data Analytics team
255,data pipelines
256,analytical techniques
257,insights
258,ETL
259,AWS technologies
260,S3
261,EMR
262,Kinesis Firehose
263,Lambda
264,ML teams
265,new behavioural events
266,pipelines
267,our offline analytics capabilities
268,Tableau
269,our real time dash boarding capabilities
270,Bachelor’s degree
271,a similar quantitative field
272,cloud solutions  AWS  Azure  Google cloud
273,data visualization
